Row Labels,year,Sum of suicides_no
Albania,,
Albania,2000,54
Albania,2001,119
Albania,2002,133
Albania,2003,124
Albania,2004,146
Albania,2005,0
Albania,2006,0
Albania,2007,124
Albania,2008,160
Albania,2009,0
Albania,2010,96
Albania,2011,
Albania,2012,
Albania,2013,
Albania,2014,
Albania,2015,
Anguilla,,
Anguilla,2000,0
Anguilla,2001,0
Anguilla,2002,1
Anguilla,2003,0
Anguilla,2004,0
Anguilla,2005,0
Anguilla,2006,0
Anguilla,2008,0
Anguilla,2009,0
Anguilla,2010,0
Anguilla,2011,1
Anguilla,2012,0
Anguilla,2013,0
Anguilla,2014,0
Anguilla,2015,0
Antigua and Barbuda,,
Antigua and Barbuda,2000,2
Antigua and Barbuda,2001,2
Antigua and Barbuda,2002,0
Antigua and Barbuda,2003,1
Antigua and Barbuda,2004,2
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,1
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Antigua and Barbuda,2015,1
Argentina,,
Argentina,2000,2774
Argentina,2001,3132
Argentina,2002,3162
Argentina,2003,3289
Argentina,2004,3121
Argentina,2005,3058
Argentina,2006,3108
Argentina,2007,2946
Argentina,2008,3059
Argentina,2009,2884
Argentina,2010,2943
Argentina,2011,2912
Argentina,2012,3248
Argentina,2013,2987
Argentina,2014,3231
Argentina,2015,3073
Armenia,,
Armenia,2000,61
Armenia,2001,60
Armenia,2002,74
Armenia,2003,59
Armenia,2004,
Armenia,2005,
Armenia,2006,78
Armenia,2007,71
Armenia,2008,63
Armenia,2009,53
Armenia,2010,73
Armenia,2011,67
Armenia,2012,79
Armenia,2013,67
Armenia,2014,58
Armenia,2015,74
Aruba,,
Aruba,2000,10
Aruba,2001,4
Aruba,2002,9
Aruba,2003,2
Aruba,2004,8
Aruba,2005,10
Aruba,2006,9
Aruba,2007,8
Aruba,2008,4
Aruba,2009,4
Aruba,2010,7
Aruba,2011,9
Aruba,2012,3
Aruba,2013,2
Aruba,2014,5
Aruba,2015,9
Australia,,
Australia,2000,2391
Australia,2001,2458
Australia,2002,2319
Australia,2003,2156
Australia,2004,2114
Australia,2005,
Australia,2006,2117
Australia,2007,2229
Australia,2008,2341
Australia,2009,2337
Australia,2010,2420
Australia,2011,2392
Australia,2012,2580
Australia,2013,2608
Australia,2014,2891
Australia,2015,3027
Austria,,
Austria,2000,1588
Austria,2001,1489
Austria,2002,1553
Austria,2003,1456
Austria,2004,1422
Austria,2005,1399
Austria,2006,1297
Austria,2007,1285
Austria,2008,1267
Austria,2009,1278
Austria,2010,1264
Austria,2011,1288
Austria,2012,1276
Austria,2013,1291
Austria,2014,1314
Austria,2015,1251
Azerbaijan,,
Azerbaijan,2000,62
Azerbaijan,2001,317
Azerbaijan,2002,92
Azerbaijan,2003,129
Azerbaijan,2004,108
Azerbaijan,2005,
Azerbaijan,2007,55
Bahamas,,
Bahamas,2000,11
Bahamas,2001,1
Bahamas,2002,3
Bahamas,2003,1
Bahamas,2004,2
Bahamas,2005,4
Bahamas,2006,2
Bahamas,2007,5
Bahamas,2008,4
Bahamas,2009,6
Bahamas,2010,10
Bahamas,2011,4
Bahamas,2012,5
Bahamas,2013,5
Bahrain,,
Bahrain,2000,29
Bahrain,2001,23
Bahrain,2002,25
Bahrain,2003,34
Bahrain,2004,42
Bahrain,2005,42
Bahrain,2006,28
Bahrain,2007,40
Bahrain,2008,43
Bahrain,2009,36
Bahrain,2010,19
Bahrain,2011,18
Bahrain,2012,19
Bahrain,2013,5
Bahrain,2014,9
Barbados,,
Barbados,2000,10
Barbados,2001,2
Barbados,2002,0
Barbados,2003,0
Barbados,2004,3
Barbados,2005,1
Barbados,2006,9
Barbados,2007,0
Barbados,2008,1
Barbados,2009,5
Barbados,2010,3
Barbados,2011,0
Barbados,2012,0
Barbados,2013,0
Belarus,,
Belarus,2000,3483
Belarus,2001,3303
Belarus,2002,3291
Belarus,2003,3456
Belarus,2004,
Belarus,2005,
Belarus,2006,
Belarus,2007,2659
Belarus,2008,2658
Belarus,2009,2743
Belarus,2010,2459
Belarus,2011,2172
Belarus,2012,
Belarus,2013,1902
Belarus,2014,1741
Belarus,2015,
Belgium,,
Belgium,2000,2143
Belgium,2001,2165
Belgium,2002,2076
Belgium,2003,2091
Belgium,2004,1987
Belgium,2005,2029
Belgium,2006,1935
Belgium,2007,1857
Belgium,2008,1999
Belgium,2009,2013
Belgium,2010,2013
Belgium,2011,2088
Belgium,2012,2026
Belgium,2013,1895
Belgium,2014,1899
Belgium,2015,1867
Belize,,
Belize,2000,18
Belize,2001,19
Belize,2002,14
Belize,2003,12
Belize,2004,20
Belize,2005,12
Belize,2006,11
Belize,2007,8
Belize,2008,11
Belize,2009,15
Belize,2010,15
Belize,2011,33
Belize,2012,18
Belize,2013,17
Belize,2014,24
Belize,2015,26
Bermuda,,
Bermuda,2000,1
Bermuda,2001,3
Bermuda,2002,3
Bermuda,2003,0
Bermuda,2004,0
Bermuda,2005,3
Bermuda,2006,1
Bermuda,2007,1
Bermuda,2008,1
Bermuda,2009,3
Bermuda,2010,3
Bermuda,2011,0
Bermuda,2012,2
Bermuda,2013,0
Bermuda,2014,1
Bermuda,2015,0
Bolivia,,
Bolivia,2000,11
Bolivia,2001,8
Bolivia,2002,18
Bolivia,2003,17
Bosnia and Herzegovina,,
Bosnia and Herzegovina,2010,
Bosnia and Herzegovina,2011,5
Bosnia and Herzegovina,2012,
Bosnia and Herzegovina,2014,313
Brazil,,
Brazil,2000,6763
Brazil,2001,7710
Brazil,2002,7697
Brazil,2003,7839
Brazil,2004,7995
Brazil,2005,8529
Brazil,2006,8618
Brazil,2007,8855
Brazil,2008,9184
Brazil,2009,9346
Brazil,2010,9429
Brazil,2011,9822
Brazil,2012,10295
Brazil,2013,10513
Brazil,2014,10631
Brazil,2015,11163
British Virgin Islands,,
British Virgin Islands,2000,0
British Virgin Islands,2001,1
British Virgin Islands,2002,0
British Virgin Islands,2003,1
British Virgin Islands,2004,0
British Virgin Islands,2006,0
British Virgin Islands,2008,0
British Virgin Islands,2009,0
British Virgin Islands,2010,0
Brunei Darussalam,,
Brunei Darussalam,2000,5
Brunei Darussalam,2001,4
Brunei Darussalam,2002,1
Brunei Darussalam,2003,5
Brunei Darussalam,2004,3
Brunei Darussalam,2005,7
Brunei Darussalam,2006,10
Brunei Darussalam,2007,10
Brunei Darussalam,2008,9
Brunei Darussalam,2009,2
Brunei Darussalam,2010,5
Brunei Darussalam,2011,5
Brunei Darussalam,2012,8
Brunei Darussalam,2013,4
Brunei Darussalam,2014,5
Brunei Darussalam,2015,7
Bulgaria,,
Bulgaria,2000,1383
Bulgaria,2001,1314
Bulgaria,2002,1317
Bulgaria,2003,1092
Bulgaria,2004,1013
Bulgaria,2005,982
Bulgaria,2006,977
Bulgaria,2007,902
Bulgaria,2008,939
Bulgaria,2009,868
Bulgaria,2010,859
Bulgaria,2011,763
Bulgaria,2012,872
Bulgaria,2013,721
Bulgaria,2014,724
Cabo Verde,,
Cabo Verde,2011,42
Canada,,
Canada,2000,3606
Canada,2001,3694
Canada,2002,3650
Canada,2003,3765
Canada,2004,3613
Canada,2005,3743
Canada,2006,3512
Canada,2007,3611
Canada,2008,3705
Canada,2009,3890
Canada,2010,3951
Canada,2011,3728
Canada,2012,3926
Canada,2013,4054
Cayman Islands,,
Cayman Islands,2000,0
Cayman Islands,2001,0
Cayman Islands,2002,0
Cayman Islands,2003,0
Cayman Islands,2004,0
Cayman Islands,2005,0
Cayman Islands,2006,3
Cayman Islands,2007,0
Cayman Islands,2008,0
Cayman Islands,2009,0
Cayman Islands,2010,1
Cayman Islands,2013,1
Chile,,
Chile,2000,1473
Chile,2001,1625
Chile,2002,1603
Chile,2003,1654
Chile,2004,1735
Chile,2005,1682
Chile,2006,1795
Chile,2007,1848
Chile,2008,2088
Chile,2009,2148
Chile,2010,2001
Chile,2011,2027
Chile,2012,1841
Chile,2013,1738
Chile,2014,1789
Chile,2015,1838
Colombia,,
Colombia,2000,2358
Colombia,2001,2412
Colombia,2002,2379
Colombia,2003,2269
Colombia,2004,2244
Colombia,2005,2102
Colombia,2006,2177
Colombia,2007,2181
Colombia,2008,2220
Colombia,2009,2249
Colombia,2010,2107
Colombia,2011,2044
Colombia,2012,2119
Colombia,2013,2068
Colombia,2014,2126
Colombia,2015,2332
Costa Rica,,
Costa Rica,2000,239
Costa Rica,2001,198
Costa Rica,2002,275
Costa Rica,2003,315
Costa Rica,2004,325
Costa Rica,2005,272
Costa Rica,2006,350
Costa Rica,2007,270
Costa Rica,2008,261
Costa Rica,2009,278
Costa Rica,2010,311
Costa Rica,2011,316
Costa Rica,2012,302
Costa Rica,2013,311
Costa Rica,2014,268
Croatia,,
Croatia,2000,926
Croatia,2001,881
Croatia,2002,874
Croatia,2003,865
Croatia,2004,871
Croatia,2005,874
Croatia,2006,796
Croatia,2007,775
Croatia,2008,793
Croatia,2009,790
Croatia,2010,776
Croatia,2011,702
Croatia,2012,776
Croatia,2013,692
Croatia,2014,722
Croatia,2015,739
Cuba,,
Cuba,2000,1845
Cuba,2001,1652
Cuba,2002,1606
Cuba,2003,1499
Cuba,2004,1515
Cuba,2005,1397
Cuba,2006,1376
Cuba,2007,1307
Cuba,2008,1377
Cuba,2009,1477
Cuba,2010,1558
Cuba,2011,1529
Cuba,2012,1495
Cuba,2013,1499
Cuba,2014,1453
Cuba,2015,1511
Cyprus,,
Cyprus,2000,7
Cyprus,2002,
Cyprus,2003,
Cyprus,2004,7
Cyprus,2005,17
Cyprus,2006,19
Cyprus,2007,19
Cyprus,2008,41
Cyprus,2009,32
Cyprus,2010,38
Cyprus,2011,30
Cyprus,2012,36
Cyprus,2013,45
Cyprus,2014,44
Cyprus,2015,40
Czech Republic,,
Czech Republic,2000,1649
Czech Republic,2001,1623
Czech Republic,2002,1534
Czech Republic,2003,1719
Czech Republic,2004,1583
Czech Republic,2005,1565
Czech Republic,2006,1400
Czech Republic,2007,1379
Czech Republic,2008,1379
Czech Republic,2009,1464
Czech Republic,2010,1502
Czech Republic,2011,1590
Czech Republic,2012,1658
Czech Republic,2013,1577
Czech Republic,2014,1489
Czech Republic,2015,1387
Denmark,,
Denmark,2000,728
Denmark,2001,727
Denmark,2002,688
Denmark,2003,633
Denmark,2004,661
Denmark,2005,631
Denmark,2006,650
Denmark,2007,581
Denmark,2008,603
Denmark,2009,622
Denmark,2010,563
Denmark,2011,589
Denmark,2012,661
Denmark,2013,610
Denmark,2014,629
Denmark,2015,564
Dominica,,
Dominica,2000,2
Dominica,2001,5
Dominica,2002,2
Dominica,2003,2
Dominica,2004,2
Dominica,2005,1
Dominica,2006,0
Dominica,2007,2
Dominica,2008,3
Dominica,2009,1
Dominica,2010,3
Dominica,2011,5
Dominica,2012,2
Dominica,2013,1
Dominica,2014,3
Dominica,2015,5
Dominican Republic,,
Dominican Republic,2000,148
Dominican Republic,2001,152
Dominican Republic,2002,137
Dominican Republic,2003,156
Dominican Republic,2004,149
Dominican Republic,2005,221
Dominican Republic,2006,157
Dominican Republic,2007,169
Dominican Republic,2008,184
Dominican Republic,2009,203
Dominican Republic,2010,210
Dominican Republic,2011,221
Dominican Republic,2012,254
Dominican Republic,2013,445
Ecuador,,
Ecuador,2000,534
Ecuador,2001,584
Ecuador,2002,577
Ecuador,2003,675
Ecuador,2004,791
Ecuador,2005,943
Ecuador,2006,900
Ecuador,2007,1005
Ecuador,2008,928
Ecuador,2009,964
Ecuador,2010,912
Ecuador,2011,918
Ecuador,2012,976
Ecuador,2013,676
Ecuador,2014,734
Ecuador,2015,1073
Egypt,,
Egypt,2000,48
Egypt,2001,49
Egypt,2002,36
Egypt,2003,42
Egypt,2004,54
Egypt,2005,52
Egypt,2006,43
Egypt,2007,32
Egypt,2008,41
Egypt,2009,52
Egypt,2010,48
Egypt,2011,176
Egypt,2012,211
Egypt,2013,149
Egypt,2014,88
Egypt,2015,48
El Salvador,,
El Salvador,2000,461
El Salvador,2001,514
El Salvador,2002,436
El Salvador,2003,527
El Salvador,2004,464
El Salvador,2005,455
El Salvador,2006,411
El Salvador,2007,501
El Salvador,2008,490
El Salvador,2009,506
El Salvador,2010,399
El Salvador,2011,485
El Salvador,2012,512
El Salvador,2013,484
El Salvador,2014,386
Estonia,,
Estonia,2000,377
Estonia,2001,401
Estonia,2002,371
Estonia,2003,342
Estonia,2004,323
Estonia,2005,273
Estonia,2006,247
Estonia,2007,251
Estonia,2008,242
Estonia,2009,269
Estonia,2010,223
Estonia,2011,218
Estonia,2012,237
Estonia,2013,218
Estonia,2014,241
Estonia,2015,195
Fiji,,
Fiji,2001,36
Fiji,2002,42
Fiji,2003,10
Fiji,2004,24
Fiji,2005,22
Fiji,2006,24
Fiji,2007,13
Fiji,2008,37
Fiji,2009,26
Fiji,2011,38
Fiji,2012,32
Finland,,
Finland,2000,1165
Finland,2001,1204
Finland,2002,1095
Finland,2003,1075
Finland,2004,1064
Finland,2005,994
Finland,2006,1062
Finland,2007,995
Finland,2008,1033
Finland,2009,1034
Finland,2010,954
Finland,2011,912
Finland,2012,873
Finland,2013,887
Finland,2014,789
Finland,2015,731
France,,
France,2000,10849
France,2001,10449
France,2002,10643
France,2003,10871
France,2004,10804
France,2005,10713
France,2006,10423
France,2007,10127
France,2008,10353
France,2009,10499
France,2010,10379
France,2011,10408
France,2012,9743
France,2013,9600
France,2014,8881
French Guiana,,
French Guiana,2001,7
French Guiana,2002,11
French Guiana,2003,23
French Guiana,2004,27
French Guiana,2005,25
French Guiana,2006,13
French Guiana,2007,23
French Guiana,2008,20
French Guiana,2009,16
French Guiana,2010,16
French Guiana,2011,21
French Guiana,2012,19
French Guiana,2013,19
French Guiana,2014,15
Georgia,,
Georgia,2000,130
Georgia,2001,100
Georgia,2002,
Georgia,2003,
Georgia,2004,175
Georgia,2005,87
Georgia,2006,72
Georgia,2007,104
Georgia,2008,
Georgia,2009,188
Georgia,2010,112
Georgia,2011,99
Georgia,2012,104
Georgia,2013,157
Georgia,2014,194
Georgia,2015,192
Germany,,
Germany,2000,11073
Germany,2001,11167
Germany,2002,11176
Germany,2003,11155
Germany,2004,10741
Germany,2005,10270
Germany,2006,9775
Germany,2007,9409
Germany,2008,9459
Germany,2009,9579
Germany,2010,10030
Germany,2011,10153
Germany,2012,9896
Germany,2013,10091
Germany,2014,10217
Germany,2015,10088
Greece,,
Greece,2000,382
Greece,2001,334
Greece,2002,323
Greece,2003,375
Greece,2004,353
Greece,2005,400
Greece,2006,394
Greece,2007,328
Greece,2008,373
Greece,2009,391
Greece,2010,377
Greece,2011,477
Greece,2012,508
Greece,2013,533
Greece,2014,565
Greece,2015,529
Grenada,,
Grenada,2001,0
Grenada,2002,0
Grenada,2003,4
Grenada,2004,1
Grenada,2005,6
Grenada,2006,1
Grenada,2007,3
Grenada,2008,0
Grenada,2009,0
Grenada,2010,0
Grenada,2011,1
Grenada,2012,2
Grenada,2013,0
Grenada,2014,0
Grenada,2015,0
Guadeloupe,,
Guadeloupe,2000,37
Guadeloupe,2001,33
Guadeloupe,2002,36
Guadeloupe,2003,31
Guadeloupe,2004,39
Guadeloupe,2005,46
Guadeloupe,2006,39
Guadeloupe,2007,34
Guadeloupe,2008,43
Guadeloupe,2009,39
Guadeloupe,2010,44
Guadeloupe,2011,32
Guadeloupe,2012,40
Guadeloupe,2013,39
Guadeloupe,2014,25
Guatemala,,
Guatemala,2000,182
Guatemala,2001,202
Guatemala,2002,258
Guatemala,2003,253
Guatemala,2004,250
Guatemala,2005,238
Guatemala,2006,298
Guatemala,2007,327
Guatemala,2008,492
Guatemala,2009,511
Guatemala,2010,352
Guatemala,2011,359
Guatemala,2012,420
Guatemala,2013,455
Guatemala,2014,512
Guatemala,2015,494
Guyana,,
Guyana,2001,197
Guyana,2002,176
Guyana,2003,198
Guyana,2004,186
Guyana,2005,169
Guyana,2006,201
Guyana,2007,185
Guyana,2008,168
Guyana,2009,156
Guyana,2010,205
Guyana,2011,192
Guyana,2012,206
Guyana,2013,210
Haiti,,
Haiti,2001,16
Haiti,2002,4
Haiti,2003,1
Haiti,2004,1
Honduras,,
Honduras,2008,37
Honduras,2009,92
Honduras,2010,111
Honduras,2011,112
Honduras,2012,111
Honduras,2013,94
Hong Kong SAR,,
Hong Kong SAR,2000,890
Hong Kong SAR,2001,997
Hong Kong SAR,2002,1040
Hong Kong SAR,2003,1101
Hong Kong SAR,2004,1272
Hong Kong SAR,2005,1143
Hong Kong SAR,2006,1041
Hong Kong SAR,2007,918
Hong Kong SAR,2008,877
Hong Kong SAR,2009,1024
Hong Kong SAR,2010,1007
Hong Kong SAR,2011,816
Hong Kong SAR,2012,822
Hong Kong SAR,2013,997
Hong Kong SAR,2014,926
Hong Kong SAR,2015,990
Hungary,,
Hungary,2000,3269
Hungary,2001,2978
Hungary,2002,2839
Hungary,2003,2800
Hungary,2004,2742
Hungary,2005,2619
Hungary,2006,2461
Hungary,2007,2450
Hungary,2008,2476
Hungary,2009,2460
Hungary,2010,2489
Hungary,2011,2420
Hungary,2012,2349
Hungary,2013,2092
Hungary,2014,1925
Hungary,2015,1868
Iceland,,
Iceland,2000,50
Iceland,2001,36
Iceland,2002,30
Iceland,2003,26
Iceland,2004,35
Iceland,2005,33
Iceland,2006,32
Iceland,2007,37
Iceland,2008,38
Iceland,2009,36
Iceland,2010,46
Iceland,2011,27
Iceland,2012,37
Iceland,2013,49
Iceland,2014,44
Iceland,2015,40
Iran (Islamic Rep of),,
Iran (Islamic Rep of),2013,2442
Iran (Islamic Rep of),2014,2485
Iran (Islamic Rep of),2015,2372
Iraq,,
Iraq,2008,3
Ireland,,
Ireland,2000,463
Ireland,2001,488
Ireland,2002,449
Ireland,2003,454
Ireland,2004,464
Ireland,2005,451
Ireland,2006,452
Ireland,2007,458
Ireland,2008,506
Ireland,2009,527
Ireland,2010,486
Ireland,2011,554
Ireland,2012,542
Ireland,2013,487
Ireland,2014,486
Israel,,
Israel,2000,394
Israel,2001,398
Israel,2002,382
Israel,2003,417
Israel,2004,411
Israel,2005,425
Israel,2006,367
Israel,2007,326
Israel,2008,354
Israel,2009,404
Israel,2010,480
Israel,2011,409
Israel,2012,430
Israel,2013,372
Israel,2014,382
Israel,2015,342
Italy,,
Italy,2000,4108
Italy,2001,4030
Italy,2002,4069
Italy,2003,4075
Italy,2004,3986
Italy,2005,3742
Italy,2006,3700
Italy,2007,3757
Italy,2008,3904
Italy,2009,3974
Italy,2010,3989
Italy,2011,4153
Italy,2012,4257
Italy,2013,4290
Italy,2014,4147
Italy,2015,3988
Jamaica,,
Jamaica,2000,3
Jamaica,2001,5
Jamaica,2002,2
Jamaica,2003,2
Jamaica,2004,1
Jamaica,2005,51
Jamaica,2006,0
Jamaica,2009,36
Jamaica,2010,3
Jamaica,2011,50
Japan,,
Japan,2000,29989
Japan,2001,29132
Japan,2002,29715
Japan,2003,31881
Japan,2004,30034
Japan,2005,30369
Japan,2006,29769
Japan,2007,30665
Japan,2008,30073
Japan,2009,30523
Japan,2010,29411
Japan,2011,28766
Japan,2012,26338
Japan,2013,25991
Japan,2014,24357
Japan,2015,23092
Jordan,,
Jordan,2008,5
Jordan,2009,14
Jordan,2010,18
Jordan,2011,19
Jordan,2012,31
Kazakhstan,,
Kazakhstan,2000,4428
Kazakhstan,2001,4377
Kazakhstan,2002,4240
Kazakhstan,2003,4321
Kazakhstan,2004,4394
Kazakhstan,2005,3903
Kazakhstan,2006,4076
Kazakhstan,2007,4141
Kazakhstan,2008,3997
Kazakhstan,2009,3838
Kazakhstan,2010,3609
Kazakhstan,2011,3401
Kazakhstan,2012,3240
Kazakhstan,2013,3512
Kazakhstan,2014,3119
Kazakhstan,2015,2872
Kiribati,,
Kiribati,2000,0
Kiribati,2001,0
Kiribati,2011,
Kuwait,,
Kuwait,2000,34
Kuwait,2001,30
Kuwait,2002,45
Kuwait,2003,44
Kuwait,2004,45
Kuwait,2005,52
Kuwait,2006,45
Kuwait,2007,51
Kuwait,2008,47
Kuwait,2009,61
Kuwait,2010,39
Kuwait,2011,41
Kuwait,2012,56
Kuwait,2013,41
Kuwait,2014,68
Kyrgyzstan,,
Kyrgyzstan,2000,510
Kyrgyzstan,2001,560
Kyrgyzstan,2002,567
Kyrgyzstan,2003,479
Kyrgyzstan,2004,438
Kyrgyzstan,2005,470
Kyrgyzstan,2006,463
Kyrgyzstan,2007,482
Kyrgyzstan,2008,473
Kyrgyzstan,2009,458
Kyrgyzstan,2010,500
Kyrgyzstan,2011,471
Kyrgyzstan,2012,524
Kyrgyzstan,2013,446
Kyrgyzstan,2014,461
Kyrgyzstan,2015,417
Latvia,,
Latvia,2000,770
Latvia,2001,708
Latvia,2002,670
Latvia,2003,604
Latvia,2004,563
Latvia,2005,564
Latvia,2006,487
Latvia,2007,453
Latvia,2008,527
Latvia,2009,516
Latvia,2010,438
Latvia,2011,440
Latvia,2012,444
Latvia,2013,383
Latvia,2014,382
Latvia,2015,387
Lithuania,,
Lithuania,2000,1631
Lithuania,2001,1533
Lithuania,2002,1551
Lithuania,2003,1455
Lithuania,2004,1380
Lithuania,2005,1319
Lithuania,2006,1049
Lithuania,2007,1025
Lithuania,2008,1111
Lithuania,2009,1138
Lithuania,2010,1018
Lithuania,2011,1018
Lithuania,2012,927
Lithuania,2013,1085
Lithuania,2014,930
Lithuania,2015,896
Luxembourg,,
Luxembourg,2000,62
Luxembourg,2001,73
Luxembourg,2002,85
Luxembourg,2003,48
Luxembourg,2004,62
Luxembourg,2005,49
Luxembourg,2006,65
Luxembourg,2007,78
Luxembourg,2008,43
Luxembourg,2009,48
Luxembourg,2010,54
Luxembourg,2011,55
Luxembourg,2012,51
Luxembourg,2013,40
Luxembourg,2014,67
Luxembourg,2015,64
Malaysia,,
Malaysia,2000,118
Malaysia,2001,73
Malaysia,2002,46
Malaysia,2003,56
Malaysia,2004,66
Malaysia,2005,39
Malaysia,2006,63
Malaysia,2007,62
Malaysia,2008,59
Malaysia,2009,40
Malaysia,2010,39
Malaysia,2011,34
Malaysia,2012,29
Malaysia,2013,22
Malaysia,2014,21
Maldives,,
Maldives,2000,0
Maldives,2001,3
Maldives,2002,3
Maldives,2003,4
Maldives,2004,1
Maldives,2005,1
