Row Labels,year,Sum of suicides_no
Maldives,2007,5
Maldives,2008,0
Maldives,2010,1
Maldives,2011,2
Malta,,
Malta,2000,23
Malta,2001,30
Malta,2002,19
Malta,2003,20
Malta,2004,24
Malta,2005,19
Malta,2006,26
Malta,2007,26
Malta,2008,14
Malta,2009,36
Malta,2010,31
Malta,2011,20
Malta,2012,25
Malta,2013,22
Malta,2014,32
Malta,2015,34
Martinique,,
Martinique,2000,33
Martinique,2001,40
Martinique,2002,31
Martinique,2003,32
Martinique,2004,34
Martinique,2005,26
Martinique,2006,36
Martinique,2007,32
Martinique,2008,50
Martinique,2009,26
Martinique,2010,26
Martinique,2011,37
Martinique,2013,27
Martinique,2014,32
Mauritius,,
Mauritius,2000,137
Mauritius,2001,113
Mauritius,2002,131
Mauritius,2003,88
Mauritius,2004,97
Mauritius,2005,102
Mauritius,2006,118
Mauritius,2007,127
Mauritius,2008,84
Mauritius,2009,115
Mauritius,2010,98
Mauritius,2011,118
Mauritius,2012,115
Mauritius,2013,98
Mauritius,2014,120
Mauritius,2015,104
Mayotte,,
Mayotte,2011,0
Mayotte,2012,2
Mayotte,2013,3
Mayotte,2014,1
Mexico,,
Mexico,2000,3456
Mexico,2001,3760
Mexico,2002,3826
Mexico,2003,4070
Mexico,2004,4056
Mexico,2005,4274
Mexico,2006,4230
Mexico,2007,4285
Mexico,2008,4642
Mexico,2009,5023
Mexico,2010,4858
Mexico,2011,5558
Mexico,2012,5381
Mexico,2013,5711
Mexico,2014,6178
Mexico,2015,6234
Montenegro,,
Montenegro,2000,0
Montenegro,2001,0
Montenegro,2002,0
Montenegro,2003,0
Montenegro,2004,0
Montenegro,2005,118
Montenegro,2006,0
Montenegro,2007,121
Montenegro,2008,126
Montenegro,2009,107
Montserrat,,
Montserrat,2000,0
Montserrat,2001,0
Montserrat,2002,0
Montserrat,2003,0
Montserrat,2004,0
Montserrat,2005,0
Montserrat,2006,0
Montserrat,2007,0
Montserrat,2008,0
Montserrat,2009,0
Montserrat,2010,1
Montserrat,2011,0
Montserrat,2012,0
Montserrat,2013,0
Montserrat,2014,0
Montserrat,2015,0
Morocco,,
Morocco,2000,21
Morocco,2001,11
Morocco,2002,22
Morocco,2003,40
Morocco,2004,20
Morocco,2007,9
Morocco,2008,10
Morocco,2009,23
Morocco,2010,36
Morocco,2011,47
Morocco,2012,149
Morocco,2013,158
Morocco,2014,118
Netherlands,,
Netherlands,2000,1501
Netherlands,2001,1474
Netherlands,2002,1570
Netherlands,2003,1502
Netherlands,2004,1514
Netherlands,2005,1574
Netherlands,2006,1525
Netherlands,2007,1354
Netherlands,2008,1439
Netherlands,2009,1530
Netherlands,2010,1604
Netherlands,2011,1650
Netherlands,2012,1756
Netherlands,2013,1856
Netherlands,2014,1839
Netherlands,2015,1873
Netherlands Antilles,,
Netherlands Antilles,2000,5
New Zealand,,
New Zealand,2000,458
New Zealand,2001,508
New Zealand,2002,467
New Zealand,2003,519
New Zealand,2004,495
New Zealand,2005,514
New Zealand,2006,527
New Zealand,2007,494
New Zealand,2008,520
New Zealand,2009,512
New Zealand,2010,536
New Zealand,2011,493
New Zealand,2012,549
New Zealand,2013,513
Nicaragua,,
Nicaragua,2000,363
Nicaragua,2001,365
Nicaragua,2002,362
Nicaragua,2003,389
Nicaragua,2004,393
Nicaragua,2005,391
Nicaragua,2006,319
Nicaragua,2007,352
Nicaragua,2008,384
Nicaragua,2009,366
Nicaragua,2010,351
Nicaragua,2011,369
Nicaragua,2012,316
Nicaragua,2013,351
Nicaragua,2014,311
Nicaragua,2015,315
Norway,,
Norway,2000,541
Norway,2001,549
Norway,2002,494
Norway,2003,502
Norway,2004,529
Norway,2005,533
Norway,2006,532
Norway,2007,485
Norway,2008,505
Norway,2009,573
Norway,2010,548
Norway,2011,598
Norway,2012,515
Norway,2013,554
Norway,2014,548
Norway,2015,590
Occupied Palestinian Territory,,
Occupied Palestinian Territory,2008,5
Occupied Palestinian Territory,2009,2
Occupied Palestinian Territory,2010,2
Occupied Palestinian Territory,2011,6
Occupied Palestinian Territory,2012,4
Occupied Palestinian Territory,2013,6
Occupied Palestinian Territory,2014,12
Occupied Palestinian Territory,2015,12
Oman,,
Oman,2009,13
Oman,2010,13
Oman,2014,7
Panama,,
Panama,2000,143
Panama,2001,162
Panama,2002,160
Panama,2003,195
Panama,2004,186
Panama,2005,172
Panama,2006,185
Panama,2007,171
Panama,2008,186
Panama,2009,177
Panama,2010,151
Panama,2011,144
Panama,2012,135
Panama,2013,130
Panama,2014,147
Panama,2015,110
Paraguay,,
Paraguay,2000,154
Paraguay,2001,152
Paraguay,2002,177
Paraguay,2003,174
Paraguay,2004,234
Paraguay,2005,239
Paraguay,2006,251
Paraguay,2007,227
Paraguay,2008,222
Paraguay,2009,283
Paraguay,2010,223
Paraguay,2011,298
Paraguay,2012,275
Paraguay,2013,323
Paraguay,2014,379
Peru,,
Peru,2000,227
Peru,2001,224
Peru,2002,250
Peru,2003,235
Peru,2004,219
Peru,2005,198
Peru,2006,229
Peru,2007,407
Peru,2008,403
Peru,2009,150
Peru,2010,261
Peru,2011,478
Peru,2012,591
Peru,2013,344
Peru,2014,402
Peru,2015,264
Philippines,,
Philippines,2000,1403
Philippines,2001,1204
Philippines,2002,1301
Philippines,2003,1544
Philippines,2006,1788
Philippines,2007,1698
Philippines,2008,1820
Philippines,2009,2074
Philippines,2010,2116
Philippines,2011,2449
Philippines,2013,
Philippines,2014,
Poland,,
Poland,2000,5841
Poland,2001,5855
Poland,2002,5925
Poland,2003,5836
Poland,2004,6072
Poland,2005,6045
Poland,2006,5805
Poland,2007,5284
Poland,2008,5682
Poland,2009,6477
Poland,2010,6357
Poland,2011,6113
Poland,2012,6368
Poland,2013,6218
Poland,2014,5934
Poland,2015,5420
Portugal,,
Portugal,2000,524
Portugal,2001,761
Portugal,2002,1210
Portugal,2003,1156
Portugal,2004,
Portugal,2005,
Portugal,2006,
Portugal,2007,1020
Portugal,2008,1038
Portugal,2009,1025
Portugal,2010,1099
Portugal,2011,1017
Portugal,2012,1076
Portugal,2013,1052
Portugal,2014,1222
Puerto Rico,,
Puerto Rico,2000,305
Puerto Rico,2001,289
Puerto Rico,2002,239
Puerto Rico,2003,262
Puerto Rico,2004,279
Puerto Rico,2005,289
Puerto Rico,2006,265
Puerto Rico,2007,271
Puerto Rico,2008,300
Puerto Rico,2009,330
Puerto Rico,2010,286
Puerto Rico,2011,258
Puerto Rico,2012,248
Puerto Rico,2013,241
Puerto Rico,2014,220
Puerto Rico,2015,226
Qatar,,
Qatar,2001,23
Qatar,2004,21
Qatar,2005,17
Qatar,2006,29
Qatar,2007,41
Qatar,2008,33
Qatar,2009,44
Qatar,2010,47
Qatar,2011,50
Qatar,2012,43
Qatar,2013,37
Qatar,2014,55
Qatar,2015,66
Republic of Korea,,
Republic of Korea,2000,6444
Republic of Korea,2001,6911
Republic of Korea,2002,8611
Republic of Korea,2003,10898
Republic of Korea,2004,11492
Republic of Korea,2005,12011
Republic of Korea,2006,10653
Republic of Korea,2007,12174
Republic of Korea,2008,12858
Republic of Korea,2009,15402
Republic of Korea,2010,15558
Republic of Korea,2011,15906
Republic of Korea,2012,14159
Republic of Korea,2013,14426
Republic of Korea,2014,13834
Republic of Korea,2015,13510
Republic of Moldova,,
Republic of Moldova,2000,544
Republic of Moldova,2001,622
Republic of Moldova,2002,583
Republic of Moldova,2003,620
Republic of Moldova,2004,603
Republic of Moldova,2005,631
Republic of Moldova,2006,637
Republic of Moldova,2007,562
Republic of Moldova,2008,620
Republic of Moldova,2009,651
Republic of Moldova,2010,676
Republic of Moldova,2011,502
Republic of Moldova,2012,571
Republic of Moldova,2013,576
Republic of Moldova,2014,581
Republic of Moldova,2015,556
Reunion,,
Reunion,2001,97
Reunion,2002,93
Reunion,2003,107
Reunion,2004,80
Reunion,2005,89
Reunion,2006,92
Reunion,2007,92
Reunion,2008,93
Reunion,2009,99
Reunion,2010,89
Reunion,2011,76
Reunion,2012,84
Reunion,2013,93
Reunion,2014,82
Rodrigues,,
Rodrigues,2001,2
Rodrigues,2002,3
Rodrigues,2004,1
Rodrigues,2005,1
Rodrigues,2006,3
Rodrigues,2007,1
Rodrigues,2008,2
Rodrigues,2009,3
Rodrigues,2010,5
Rodrigues,2011,3
Rodrigues,2012,1
Rodrigues,2013,2
Rodrigues,2014,6
Rodrigues,2015,2
Romania,,
Romania,2000,2836
Romania,2001,2720
Romania,2002,3067
Romania,2003,2894
Romania,2004,2720
Romania,2005,2603
Romania,2006,2721
Romania,2007,2430
Romania,2008,2472
Romania,2009,2586
Romania,2010,2766
Romania,2011,2536
Romania,2012,2495
Romania,2013,2407
Romania,2014,2209
Romania,2015,2228
Russian Federation,,
Russian Federation,2000,56619
Russian Federation,2001,56958
Russian Federation,2002,55024
Russian Federation,2003,51445
Russian Federation,2004,49096
Russian Federation,2005,45802
Russian Federation,2006,42614
Russian Federation,2007,41149
Russian Federation,2008,38211
Russian Federation,2009,37408
Russian Federation,2010,33356
Russian Federation,2011,31038
Russian Federation,2012,29643
Russian Federation,2013,28690
Russian Federation,2014,26541
Russian Federation,2015,25432
Saint Kitts and Nevis,,
Saint Kitts and Nevis,2000,1
Saint Kitts and Nevis,2001,1
Saint Kitts and Nevis,2002,1
Saint Kitts and Nevis,2003,0
Saint Kitts and Nevis,2004,1
Saint Kitts and Nevis,2005,1
Saint Kitts and Nevis,2006,0
Saint Kitts and Nevis,2007,1
Saint Kitts and Nevis,2008,0
Saint Kitts and Nevis,2009,1
Saint Kitts and Nevis,2010,2
Saint Kitts and Nevis,2011,1
Saint Kitts and Nevis,2012,2
Saint Kitts and Nevis,2014,0
Saint Kitts and Nevis,2015,0
Saint Lucia,,
Saint Lucia,2000,14
Saint Lucia,2001,7
Saint Lucia,2002,12
Saint Lucia,2003,10
Saint Lucia,2004,8
Saint Lucia,2005,4
Saint Lucia,2006,2
Saint Lucia,2008,0
Saint Lucia,2009,13
Saint Lucia,2010,4
Saint Lucia,2011,8
Saint Lucia,2012,10
Saint Lucia,2013,14
Saint Lucia,2014,14
Saint Pierre and Miquelon,,
Saint Pierre and Miquelon,2005,2
Saint Pierre and Miquelon,2006,1
Saint Pierre and Miquelon,2008,1
Saint Pierre and Miquelon,2009,0
Saint Pierre and Miquelon,2010,1
Saint Vincent and Grenadines,,
Saint Vincent and Grenadines,2000,5
Saint Vincent and Grenadines,2001,8
Saint Vincent and Grenadines,2002,7
Saint Vincent and Grenadines,2003,4
Saint Vincent and Grenadines,2004,4
Saint Vincent and Grenadines,2005,8
Saint Vincent and Grenadines,2006,6
Saint Vincent and Grenadines,2007,11
Saint Vincent and Grenadines,2008,4
Saint Vincent and Grenadines,2009,1
Saint Vincent and Grenadines,2010,5
Saint Vincent and Grenadines,2011,5
Saint Vincent and Grenadines,2012,10
Saint Vincent and Grenadines,2013,0
Saint Vincent and Grenadines,2014,2
Saint Vincent and Grenadines,2015,3
San Marino,,
San Marino,2000,1
San Marino,2002,5
San Marino,2005,1
San Marino,2011,
San Marino,2012,
San Marino,2013,
San Marino,2014,
San Marino,2015,
Saudi Arabia,,
Saudi Arabia,2009,59
Saudi Arabia,2012,76
Serbia,,
Serbia,2000,1543
Serbia,2001,1442
Serbia,2002,1446
Serbia,2003,1378
Serbia,2004,1345
Serbia,2005,1437
Serbia,2006,1443
Serbia,2007,1353
Serbia,2008,1289
Serbia,2009,1373
Serbia,2010,1207
Serbia,2011,1256
Serbia,2012,1243
Serbia,2013,1197
Serbia,2014,1134
Serbia,2015,1062
Seychelles,,
Seychelles,2001,6
Seychelles,2002,5
Seychelles,2003,8
Seychelles,2004,6
Seychelles,2005,5
Seychelles,2006,8
Seychelles,2007,6
Seychelles,2008,4
Seychelles,2009,4
Seychelles,2010,6
Seychelles,2011,5
Seychelles,2012,3
Seychelles,2013,9
Seychelles,2014,4
Seychelles,2015,7
Singapore,,
Singapore,2000,309
Singapore,2001,305
Singapore,2002,321
Singapore,2003,320
Singapore,2004,335
Singapore,2005,359
Singapore,2006,372
Singapore,2007,328
Singapore,2008,319
Singapore,2009,349
Singapore,2010,296
Singapore,2011,308
Singapore,2012,392
Singapore,2013,357
Singapore,2014,355
Singapore,2015,329
Slovakia,,
Slovakia,2000,729
Slovakia,2001,692
Slovakia,2002,717
Slovakia,2003,753
Slovakia,2004,676
Slovakia,2005,679
Slovakia,2006,0
Slovakia,2007,0
Slovakia,2008,591
Slovakia,2009,601
Slovakia,2010,631
Slovakia,2011,
Slovakia,2012,571
Slovakia,2013,616
Slovakia,2014,554
Slovenia,,
Slovenia,2000,588
Slovenia,2001,581
Slovenia,2002,540
Slovenia,2003,562
Slovenia,2004,512
Slovenia,2005,503
Slovenia,2006,529
Slovenia,2007,434
Slovenia,2008,408
Slovenia,2009,447
Slovenia,2010,414
Slovenia,2011,435
Slovenia,2012,440
Slovenia,2013,446
Slovenia,2014,388
Slovenia,2015,422
South Africa,,
South Africa,2000,267
South Africa,2001,384
South Africa,2002,236
South Africa,2003,256
South Africa,2004,383
South Africa,2005,458
South Africa,2006,514
South Africa,2007,417
South Africa,2008,441
South Africa,2009,372
South Africa,2010,393
South Africa,2011,358
South Africa,2012,487
South Africa,2013,587
South Africa,2014,580
South Africa,2015,482
Spain,,
Spain,2000,3394
Spain,2001,3189
Spain,2002,3372
Spain,2003,3478
Spain,2004,3508
Spain,2005,3399
Spain,2006,3247
Spain,2007,3264
Spain,2008,3457
Spain,2009,3429
Spain,2010,3158
Spain,2011,3180
Spain,2012,3539
Spain,2013,3873
Spain,2014,3911
Spain,2015,3604
Sri Lanka,,
Sri Lanka,2000,5252
Sri Lanka,2001,4590
Sri Lanka,2002,4382
Sri Lanka,2003,4467
Sri Lanka,2006,4015
Suriname,,
Suriname,2000,52
Suriname,2001,72
Suriname,2002,69
Suriname,2003,77
Suriname,2004,67
Suriname,2005,72
Suriname,2006,112
Suriname,2007,119
Suriname,2008,147
Suriname,2009,131
Suriname,2010,136
Suriname,2011,127
Suriname,2012,133
Suriname,2013,131
Suriname,2014,128
Sweden,,
Sweden,2000,1131
Sweden,2001,1197
Sweden,2002,1180
Sweden,2003,1112
Sweden,2004,1155
Sweden,2005,1219
Sweden,2006,1197
Sweden,2007,1126
Sweden,2008,1170
Sweden,2009,1242
Sweden,2010,1141
Sweden,2011,1112
Sweden,2012,1154
Sweden,2013,1230
Sweden,2014,1148
Sweden,2015,1182
Switzerland,,
Switzerland,2000,1380
Switzerland,2001,1338
Switzerland,2002,1446
Switzerland,2003,1269
Switzerland,2004,1284
Switzerland,2005,1299
Switzerland,2006,1309
Switzerland,2007,1360
Switzerland,2008,1314
Switzerland,2009,1105
Switzerland,2010,1006
Switzerland,2011,1034
Switzerland,2012,1038
Switzerland,2013,1071
Switzerland,2014,1032
Switzerland,2015,1073
Syrian Arab Republic,,
Syrian Arab Republic,2000,23
Syrian Arab Republic,2001,11
Syrian Arab Republic,2002,30
Syrian Arab Republic,2003,26
Syrian Arab Republic,2004,29
Syrian Arab Republic,2005,23
Syrian Arab Republic,2006,27
Syrian Arab Republic,2007,29
Syrian Arab Republic,2008,34
Syrian Arab Republic,2009,21
Syrian Arab Republic,2010,32
Tajikistan,,
Tajikistan,2000,177
Tajikistan,2001,163
Tajikistan,2002,141
Tajikistan,2003,169
Tajikistan,2004,172
Tajikistan,2005,187
TFYR Macedonia,,
TFYR Macedonia,2000,150
TFYR Macedonia,2001,152
TFYR Macedonia,2002,149
TFYR Macedonia,2003,137
TFYR Macedonia,2004,179
TFYR Macedonia,2005,143
TFYR Macedonia,2006,166
TFYR Macedonia,2007,159
TFYR Macedonia,2008,161
TFYR Macedonia,2009,167
TFYR Macedonia,2010,122
TFYR Macedonia,2011,128
TFYR Macedonia,2012,172
TFYR Macedonia,2013,170
TFYR Macedonia,2014,
Thailand,,
Thailand,2000,5182
Thailand,2002,4902
Thailand,2003,4484
Thailand,2004,4296
Thailand,2005,3937
Thailand,2006,3608
Thailand,2007,3754
Thailand,2008,3778
Thailand,2009,3787
Thailand,2010,3761
Thailand,2011,3873
Thailand,2012,3985
Thailand,2013,3961
Thailand,2014,3952
Thailand,2015,4205
Trinidad and Tobago,,
Trinidad and Tobago,2000,166
Trinidad and Tobago,2001,179
Trinidad and Tobago,2002,156
Trinidad and Tobago,2003,144
Trinidad and Tobago,2004,168
Trinidad and Tobago,2005,136
Trinidad and Tobago,2006,141
Trinidad and Tobago,2007,131
Trinidad and Tobago,2008,199
Trinidad and Tobago,2009,128
Trinidad and Tobago,2010,160
Trinidad and Tobago,2011,139
Tunisia,,
Tunisia,2009,22
Tunisia,2013,10
Turkey,,
Turkey,2009,1050
Turkey,2010,1524
Turkey,2011,1148
Turkey,2012,1450
Turkey,2013,1810
Turkey,2014,1617
Turkey,2015,1532
Turkmenistan,,
Turkmenistan,2000,383
Turkmenistan,2001,445
Turkmenistan,2002,416
Turkmenistan,2003,377
Turkmenistan,2004,392
Turkmenistan,2005,468
Turkmenistan,2006,506
Turkmenistan,2007,354
Turkmenistan,2008,484
Turkmenistan,2009,165
Turkmenistan,2010,178
Turkmenistan,2011,130
Turkmenistan,2012,138
Turkmenistan,2013,101
Turkmenistan,2014,136
Turkmenistan,2015,133
Turks and Caicos Islands,,
Turks and Caicos Islands,2000,0
Turks and Caicos Islands,2001,0
Turks and Caicos Islands,2002,0
Turks and Caicos Islands,2003,1
Turks and Caicos Islands,2004,1
Turks and Caicos Islands,2005,0
Turks and Caicos Islands,2006,0
Turks and Caicos Islands,2007,0
Turks and Caicos Islands,2008,0
Turks and Caicos Islands,2009,1
Turks and Caicos Islands,2013,0
Turks and Caicos Islands,2014,1
Ukraine,,
Ukraine,2000,14467
Ukraine,2001,13131
Ukraine,2002,12536
Ukraine,2003,12313
Ukraine,2004,11256
Ukraine,2005,10621
Ukraine,2006,10013
Ukraine,2007,10032
Ukraine,2008,9454
Ukraine,2009,9715
Ukraine,2010,9089
Ukraine,2011,8973
Ukraine,2012,9058
Ukraine,2014,7968
Ukraine,2015,7574
United Arab Emirates,,
United Arab Emirates,2005,96
United Arab Emirates,2006,90
United Arab Emirates,2007,101
United Arab Emirates,2008,100
United Arab Emirates,2009,124
United Arab Emirates,2010,111
United Kingdom,,
United Kingdom,2000,4290
United Kingdom,2001,4128
United Kingdom,2002,4117
United Kingdom,2003,3979
United Kingdom,2004,4183
United Kingdom,2005,4047
United Kingdom,2006,4122
United Kingdom,2007,3897
United Kingdom,2008,4259
United Kingdom,2009,4246
United Kingdom,2010,4188
United Kingdom,2011,4393
United Kingdom,2012,4444
United Kingdom,2013,4824
United Kingdom,2014,4788
United Kingdom,2015,4910
United States of America,,
United States of America,2000,29343
United States of America,2001,30607
United States of America,2002,31645
United States of America,2003,31477
United States of America,2004,32428
United States of America,2005,32629
United States of America,2006,33292
United States of America,2007,34596
United States of America,2008,36030
United States of America,2009,36900
United States of America,2010,38362
United States of America,2011,39508
United States of America,2012,40596
United States of America,2013,41143
United States of America,2014,42769
United States of America,2015,44189
Uruguay,,
Uruguay,2000,555
Uruguay,2001,499
Uruguay,2002,675
Uruguay,2003,535
Uruguay,2004,520
Uruguay,2005,498
Uruguay,2006,528
Uruguay,2007,576
Uruguay,2008,523
Uruguay,2009,511
Uruguay,2010,547
Uruguay,2012,599
Uruguay,2013,546
Uruguay,2014,591
Uruguay,2015,630
Uzbekistan,,
Uzbekistan,2000,1919
Uzbekistan,2001,1914
Uzbekistan,2002,1576
Uzbekistan,2003,1416
Uzbekistan,2004,1251
Uzbekistan,2005,1221
Uzbekistan,2009,1399
Uzbekistan,2010,1464
Uzbekistan,2011,1640
Uzbekistan,2012,1835
Uzbekistan,2013,1950
Uzbekistan,2014,2095
Venezuela (Bolivarian Republic of),,
Venezuela (Bolivarian Republic of),2000,1264
Venezuela (Bolivarian Republic of),2001,1379
Venezuela (Bolivarian Republic of),2002,1299
Venezuela (Bolivarian Republic of),2003,1150
Venezuela (Bolivarian Republic of),2004,1038
Venezuela (Bolivarian Republic of),2005,1016
Venezuela (Bolivarian Republic of),2006,945
Venezuela (Bolivarian Republic of),2007,897
Venezuela (Bolivarian Republic of),2008,870
Venezuela (Bolivarian Republic of),2009,751
Venezuela (Bolivarian Republic of),2010,775
Venezuela (Bolivarian Republic of),2011,760
Venezuela (Bolivarian Republic of),2012,731
Venezuela (Bolivarian Republic of),2013,618
Virgin Islands (USA),,
Virgin Islands (USA),2000,5
Virgin Islands (USA),2001,4
Virgin Islands (USA),2002,2
Virgin Islands (USA),2003,9
Virgin Islands (USA),2004,5
Virgin Islands (USA),2005,2
Virgin Islands (USA),2006,14
Virgin Islands (USA),2007,11
Virgin Islands (USA),2008,6
Virgin Islands (USA),2009,9
Virgin Islands (USA),2010,8
Virgin Islands (USA),2011,8
Virgin Islands (USA),2012,10
Virgin Islands (USA),2015,3
Grand Total,,3862202
